"","X","slug","season","team_slug","position","game_uid","game_date","toi","goals","assists","points","iXG","iXA","iXP","XPGF","XPGA","XPGPercentage","LPRs","contestedLPRs","PDPs","scoringChanceGeneratingPlays","defensivePlays","possessionTime","controlledEntries","controlledExits","date","possMin","c7session","c7O.I.L","c7H.S.L","c7M.S.L","c7L.S.L","c7TRIMP","a7TRIMP.PL","a7A.F.lb.R","a7A.HF.S.R","c7PL","c7SL","c7estTRIMP","a7TRIMP.OIL","a7estTRIMP.OIL","pct7DestTRIMPGames","pct7DOILGames","a7HSL.OIL","pct7DHSLGames","WorkPercent","line","role","HAW","backToBack","HSL.TOI","OIL.TOI","a7HSL.TOI","a7OIL.TOI","pos.TOI","a7ngHSL.OIL","a7ngTRIMP.PL","a7ngTRIMP"
"20",19,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120323","Fri, 26 Feb 2021 00:00:00 GMT",11.8655547833333,0,0,0,0.0809491118855181,0,0.0809491118855181,0.237499082463413,0.696286218592659,0.25434013813969,6,2,3,1,5,9.5666666666,2,0,"2021-02-26",0.159444444443333,5,632.03171,2085.5490633,1837.94592,2286.59958,342.5,0.666666666666667,-11.508175,-6.0441625,511.119047619047,5032.36123,593.692802824367,1.17332972256678,1.02566235010417,31.3661774903782,40.1878570301481,3.14822970387519,56.4711400956663,NA,3,"F3","A",1,44.0041230970004,9.52336423061508,44.0412739296961,9.49786943261174,1.34375886635569,2.3781707511143,0.666666666666667,114.166666666667
"21",20,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120359","Wed, 03 Mar 2021 00:00:00 GMT",9.05833333333333,0,0,0,0.0331440009311711,0,0.0331440009311711,0.0401933656281653,0.340817172275279,0.105491480233943,7,1,5,0,1,13.56666666653,1,1,"2021-03-03",0.226111111108833,6,614.06546,2180.7424133,1771.34744,2110.38403,308.1,0.633333333333333,-14.1105725,-6.5081775,483.785714285714,4988.14055,543.035535909672,0.962322911884837,0.898877583325401,31.2984068495783,37.7809883656378,3.4902988060977,49.2645681923648,1.03247399817851,4,"F4","H",0,44.0404783771849,9.49402023919044,44.0733815162898,9.51808754118035,2.49616681996872,2.80898994874494,0.633333333333333,102.7
"22",21,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120373","Fri, 05 Mar 2021 00:00:00 GMT",13.3616645,0,0,0,0.135846631640946,0,0.135846631640946,0.233950330848805,0.231529997367095,0.502599823596184,15,4,9,1,4,33.83333333343,0,4,"2021-03-05",0.5638888888905,6,647.10678,2282.9586366,2033.42109,2424.78503,387.5,0.55,-16.18509,-6.7762225,713.9,5820.09809,642.653661906464,0.873549985162516,0.830160947430061,27.2783453127473,30.7522662643096,3.48340100103745,40.3453068239441,1.89562901554404,3,"F3","H",0,44.2360056787835,9.57964481146791,44.0223007370926,9.50869223490276,4.22019942867522,3.0286358780465,0.55,96.875
"23",22,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120401","Tue, 09 Mar 2021 00:00:00 GMT",13.0472226666667,0,0,0,0.13869122380336,0,0.13869122380336,0.157638143933091,0.858923591945172,0.155069916926294,10,1,6,2,3,13.866666666554,1,2,"2021-03-09",0.231111111109233,7,901.55277667,3099.4139567,2618.77963,3358.3648,508.6,0.516666666666667,-15.554465,-5.69575833333333,971.633333333334,7645.09172,883.141260899907,0.854182387639072,0.8140968477228,30.7783532699567,34.3093243872533,3.31383162796186,46.1850752012522,NA,3,"F3","A",0,43.8969540056391,9.4777514310325,44.0452073046473,9.51441721108201,1.77134335033371,2.76095523366626,0.516666666666667,84.7666666666667
"24",23,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120430","Sat, 13 Mar 2021 00:00:00 GMT",11.2261083333333,0,0,0,0.0125231558553355,0,0.0125231558553355,0.019656757316343,0.897203344039937,0.021439211159113,10,2,4,0,9,17.33333333345,0,1,"2021-03-13",0.288888888890833,6,744.39911997,2315.95783,2386.55418,3160.59744,394.54483,0.5517275,-15.142338,-3.512786,707.153223157745,6848.90945,646.513674133648,0.89699757697738,0.869856836449944,24.7798627910307,29.416343208308,3.0413561880011,43.7918163648083,NA,4,"F4","H",0,43.8323461781429,9.46380201806357,43.8780459318062,9.47366900681009,2.57336630213202,2.38858275188375,0.5517275,98.6362075
"25",24,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120450","Mon, 15 Mar 2021 00:00:00 GMT",11.3566673333333,0,0,0,0.0404851714191717,0,0.0404851714191717,0.35934177293857,0.586234792700909,0.380023983246193,11,4,6,1,4,11.96666666653,0,2,"2021-03-15",0.199444444442167,5,670.59947,2165.02152,2026.37907,2632.71162,307.74483,0.535636666666667,-15.7649875,-5.001215,562.486556491078,5759.31221,567.877363518393,0.85449835847075,0.839298501805055,29.6488117992857,34.2827589768301,3.17388321157992,49.181959170549,NA,4,"F4","A",0,44.1678870462058,9.5362483395217,43.864650091891,9.47077672454804,1.75618813678526,2.39104817265972,0.535636666666667,102.58161
"26",25,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120515","Thu, 25 Mar 2021 00:00:00 GMT",14.5366648333333,1,1,2,0.318823398378798,0.00912540994663468,0.327948808325433,0.511883037845069,1.18002735471678,0.302547368995109,18,3,11,4,5,36.7333333331034,5,1,"2021-03-25",0.61222222221839,1,129.24089,294.62816,525.1237,739.31013,150.919,0.74623,-12.27547,-3.53436,202.241936132292,1559.06199,150.919,1.16773414358258,1.16773414358258,0,0,2.27968222750555,0,NA,3,"F3","H",0,44.1917047249342,9.54139079288352,NA,NA,4.21157280048539,2.27968222750555,0.74623,150.919
"27",26,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120541","Sun, 28 Mar 2021 00:00:00 GMT",14.7200031666667,0,0,0,0.455735486020018,0.0206416540145741,0.476377140034593,0.592238655452766,0.503754037471013,0.54036733937783,14,3,12,5,9,30.46666666655,2,4,"2021-03-28",0.507777777775833,4,533.0951767,2032.0183767,1189.47956,1497.32927,273.619,0.673115,-14.858815,-2.349445,406.741936132292,3445.76054,475.589162888636,1.05949411258792,0.897143136865404,42.4673602026397,51.560524032781,3.78564823758646,62.6503520488561,NA,3,"F3","H",1,43.9900267661853,9.49784668637807,44.1095077412286,9.52364371776847,3.44957655257637,2.93971752824899,0.673115,136.8095
"28",27,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120556","Tue, 30 Mar 2021 00:00:00 GMT",13.3305548333333,0,0,0,0.0422614605072406,0.329255657282178,0.371517117789419,0.625001787254035,0.685433748626625,0.476942031974134,17,2,14,6,9,34.000000000253,3,4,"2021-03-30",0.566666666670883,6,761.42518,2869.0963,1574.56574,2005.18321,357.919,0.648743333333333,-15.2040266666667,-3.08346333333333,547.241936132292,4528.24525,662.648959348724,1.02376580560406,0.879314423665308,45.986635163243,54.4603739004271,3.65256573019424,66.9409388593893,NA,3,"F3","H",0,43.6240907127035,9.41883776555489,44.0696807495475,9.515044707305,4.25088583150285,2.67355251302777,0.648743333333333,119.306333333333
"29",28,"anders-bjork-96",20202021,"nhl.bos","Forward","G2020202120571","Thu, 01 Apr 2021 00:00:00 GMT",12.5788872333333,0,0,0,0,0,0,0.173776973248422,1.04854013031388,0.142170123237226,6,1,9,1,6,27.03333333323,3,2,"2021-04-01",0.450555555553833,7,937.3935633,3628.8246833,1877.58821,2397.6343,300.6,0.6,-16.5073625,-6.270165,501,5401.91386,764.590460366331,0.914717181640583,0.829588524258827,51.9024871390644,57.6314319247257,3.74792196384376,68.9516179939725,NA,3,"F3","H",0,43.9572533757008,9.49077061313033,43.9582832403365,9.49099297186747,3.58183953155958,2.73609120464201,0.6,100.2
