iter	Passed	Remaining
405	5348	9128
406	5357	9108
407	5367	9089
408	5373	9064
409	5378	9038
410	5388	9020
411	5398	9002
412	5407	8982
413	5418	8965
414	5431	8951
415	5444	8938
416	5457	8924
417	5468	8908
418	5482	8898
419	5493	8881
420	5508	8871
421	5524	8862
422	5538	8851
423	5551	8837
424	5561	8820
425	5571	8801
426	5582	8785
427	5591	8766
428	5602	8749
429	5614	8734
430	5625	8719
431	5638	8705
432	5643	8680
433	5652	8661
434	5675	8663
435	5686	8647
436	5699	8633
437	5713	8621
438	5725	8607
439	5738	8594
440	5750	8579
441	5763	8567
442	5774	8550
443	5787	8537
444	5792	8512
445	5803	8496
446	5814	8480
447	5824	8463
448	5838	8451
449	5848	8434
450	5860	8420
451	5866	8397
452	5874	8377
453	5887	8363
454	5896	8346
455	5908	8330
456	5919	8315
457	5928	8297
458	5937	8279
459	5948	8263
460	5961	8249
461	5973	8236
462	5988	8225
463	5998	8209
464	6004	8186
465	6014	8170
466	6026	8155
467	6036	8139
468	6046	8122
469	6059	8109
470	6069	8093
471	6084	8082
472	6099	8072
473	6106	8051
474	6120	8040
475	6127	8020
476	6138	8004
477	6153	7994
478	6168	7983
479	6181	7971
480	6195	7959
481	6205	7943
482	6217	7929
483	6231	7918
484	6240	7900
485	6255	7889
486	6273	7884
487	6288	7873
488	6303	7862
489	6313	7847
490	6324	7832
491	6336	7817
492	6347	7801
493	6359	7788
494	6371	7773
495	6381	7758
496	6393	7744
497	6404	7729
498	6418	7717
499	6433	7707
500	6447	7695
501	6454	7676
502	6468	7664
503	6478	7648
504	6489	7633
505	6494	7611
506	6500	7590
507	6514	7578
508	6525	7563
509	6537	7549
510	6547	7533
511	6554	7514
512	6567	7501
513	6572	7479
514	6583	7465
515	6593	7450
516	6603	7433
517	6613	7418
518	6623	7401
519	6634	7387
520	6643	7369
521	6653	7354
522	6665	7340
523	6675	7325
524	6684	7308
525	6694	7292
526	6700	7272
527	6710	7256
528	6720	7241
529	6728	7223
530	6738	7207
531	6747	7191
532	6757	7175
533	6765	7158
534	6770	7136
535	6784	7126
536	6794	7110
537	6805	7096
538	6818	7084
539	6829	7069
540	6833	7048
541	6845	7034
542	6855	7019
543	6866	7004
544	6878	6992
545	6889	6977
546	6899	6962
547	6911	6949
548	6922	6935
549	6927	6915
550	6933	6895
551	6943	6880
552	6954	6866
553	6967	6854
554	6981	6842
555	6995	6832
556	7007	6818
557	7018	6804
558	7030	6791
559	7045	6780
560	7057	6767
561	7068	6754
562	7080	6740
563	7092	6727
564	7103	6713
565	7117	6702
566	7128	6688
567	7133	6669
568	7142	6652
569	7154	6639
570	7160	6621
571	7172	6608
572	7183	6594
573	7195	6580
574	7200	6561
575	7212	6549
576	7223	6535
577	7238	6524
578	7252	6513
579	7264	6500
580	7277	6488
581	7291	6477
582	7299	6460
583	7313	6449
584	7325	6436
585	7340	6425
586	7345	6406
587	7359	6395
588	7365	6377
589	7378	6365
590	7394	6355
591	7408	6344
592	7419	6331
593	7429	6316
594	7441	6303
595	7453	6290
596	7461	6274
597	7473	6261
598	7484	6247
599	7497	6235
600	7508	6221
601	7516	6205
602	7523	6188
603	7532	6173
604	7545	6160
605	7556	6147
606	7560	6127
607	7571	6114
608	7581	6100
609	7593	6087
610	7603	6073
611	7614	6059
612	7623	6044
613	7632	6028
614	7640	6013
615	7650	5998
616	7653	5979
617	7663	5964
618	7673	5950
619	7681	5934
620	7690	5919
621	7698	5903
622	7710	5891
623	7720	5876
624	7729	5862
625	7740	5848
626	7750	5834
627	7760	5820
628	7770	5805
629	7780	5792
630	7790	5778
631	7801	5764
632	7810	5749
633	7819	5734
634	7829	5721
635	7840	5707
636	7849	5693
637	7858	5678
638	7870	5665
639	7882	5653
640	7890	5637
641	7899	5623
642	7909	5609
643	7919	5595
644	7930	5582
645	7941	5568
646	7948	5552
647	7957	5538
648	7966	5524
